,Pad,Red,Green,Blue,Hexadecimal,Hex_R,Hex_G,Hex_B,MostlyRed,MostlyGreen,MostlyBlue,Grayscale
0,0,0,0,0,000000,00,00,00,False,False,False,True
1,1,28,28,28,1C1C1C,1C,1C,1C,False,False,False,True
2,2,124,124,124,7C7C7C,7C,7C,7C,False,False,False,True
3,3,252,252,252,FCFCFC,FC,FC,FC,False,False,False,True
4,4,252,79,77,FC4F4D,FC,4F,4D,True,False,False,False
5,5,252,20,27,FC141B,FC,14,1B,True,False,False,False
6,6,89,2,4,590204,59,02,04,True,False,False,False
7,7,25,0,0,190000,19,00,00,True,False,False,False
8,8,253,188,106,FDBC6A,FD,BC,6A,True,False,False,False
9,9,252,87,31,FC571F,FC,57,1F,True,False,False,False
10,10,89,29,5,591D05,59,1D,05,True,False,False,False
11,11,36,24,1,241801,24,18,01,True,False,False,False
12,12,253,251,65,FDFB41,FD,FB,41,True,False,False,False
13,13,253,251,55,FDFB37,FD,FB,37,True,False,False,False
14,14,88,87,12,58570C,58,57,0C,True,False,False,False
15,15,24,24,1,181801,18,18,01,False,False,False,True
16,16,132,251,64,84FB40,84,FB,40,False,True,False,False
17,17,76,251,47,4CFB2F,4C,FB,2F,False,True,False,False
18,18,25,87,9,195709,19,57,09,False,True,False,False
19,19,20,40,2,142802,14,28,02,False,True,False,False
20,20,67,251,64,43FB40,43,FB,40,False,True,False,False
21,21,41,251,46,29FB2E,29,FB,2E,False,True,False,False
22,22,7,87,9,075709,07,57,09,False,True,False,False
23,23,1,24,1,011801,01,18,01,False,True,False,False
24,24,66,251,83,42FB53,42,FB,53,False,True,False,False
25,25,41,251,46,29FB2E,29,FB,2E,False,True,False,False
26,26,7,87,9,075709,07,57,09,False,True,False,False
27,27,1,24,1,011801,01,18,01,False,True,False,False
28,28,66,251,131,42FB83,42,FB,83,False,True,False,False
29,29,41,251,74,29FB4A,29,FB,4A,False,True,False,False
30,30,7,87,25,075719,07,57,19,False,True,False,False
31,31,1,28,15,011C0F,01,1C,0F,False,True,False,False
32,32,64,250,178,40FAB2,40,FA,B2,False,True,False,False
33,33,42,250,149,2AFA95,2A,FA,95,False,True,False,False
34,34,8,87,50,085732,08,57,32,False,True,False,False
35,35,1,24,15,01180F,01,18,0F,False,True,False,False
36,36,66,192,252,42C0FC,42,C0,FC,False,False,True,False
37,37,29,169,252,1DA9FC,1D,A9,FC,False,False,True,False
38,38,5,64,80,054050,05,40,50,False,False,True,False
39,39,0,16,24,001018,00,10,18,False,False,True,False
40,40,69,137,251,4589FB,45,89,FB,False,False,True,False
41,41,16,87,251,1057FB,10,57,FB,False,False,True,False
42,42,2,28,88,021C58,02,1C,58,False,False,True,False
43,43,0,7,24,000718,00,07,18,False,False,True,False
44,44,72,80,251,4850FB,48,50,FB,False,False,True,False
45,45,11,36,251,0B24FB,0B,24,FB,False,False,True,False
46,46,1,6,89,010659,01,06,59,False,False,True,False
47,47,0,1,24,000118,00,01,18,False,False,True,False
48,48,131,80,251,8350FB,83,50,FB,False,False,True,False
49,49,81,36,251,5124FB,51,24,FB,False,False,True,False
50,50,22,8,101,160865,16,08,65,False,False,True,False
51,51,11,2,49,0B0231,0B,02,31,False,False,True,False
52,52,253,83,252,FD53FC,FD,53,FC,True,False,False,False
53,53,252,40,252,FC28FC,FC,28,FC,False,False,False,True
54,54,89,7,89,590759,59,07,59,False,False,False,True
55,55,25,1,25,190119,19,01,19,False,False,False,True
56,56,252,80,133,FC5085,FC,50,85,True,False,False,False
57,57,252,21,86,FC1556,FC,15,56,True,False,False,False
58,58,89,3,28,59031C,59,03,1C,True,False,False,False
59,59,33,0,16,210010,21,00,10,True,False,False,False
60,60,252,31,28,FC1F1C,FC,1F,1C,True,False,False,False
61,61,153,53,15,99350F,99,35,0F,True,False,False,False
62,62,121,81,14,79510E,79,51,0E,True,False,False,False
63,63,63,99,13,3F630D,3F,63,0D,False,True,False,False
64,64,3,55,4,033704,03,37,04,False,True,False,False
65,65,7,83,51,075333,07,53,33,False,True,False,False
66,66,9,84,124,09547C,09,54,7C,False,False,True,False
67,67,11,36,251,0B24FB,0B,24,FB,False,False,True,False
68,68,5,68,76,05444C,05,44,4C,False,False,True,False
69,69,30,28,206,1E1CCE,1E,1C,CE,False,False,True,False
70,70,124,124,124,7C7C7C,7C,7C,7C,False,False,False,True
71,71,32,32,32,202020,20,20,20,False,False,False,True
72,72,252,20,27,FC141B,FC,14,1B,True,False,False,False
